"","Replicate","Batch.x","Threshold","PC1","PC2","Stress","Sample","Condition","Batch.y","Batch2","AB","Bacs","file_ID","Replicate_Number"
"118","bJ.A.5","w/o Batch",3,1.68358109723243,0.314952261341387,10.5206950795363,"G05294","bJ.A","b","d","yes","bac","G05294_salmon",5
"119","bJ.A.5","with Batch",10,-3.3611463075126,0.639830190200249,9.70443239753736,"G05294","bJ.A","b","d","yes","bac","G05294_salmon",5
"120","bJ.A.5","w/o Batch",10,1.74773471541394,0.0936781466992376,10.1965163307837,"G05294","bJ.A","b","d","yes","bac","G05294_salmon",5
"121","GF.1","with Batch",0,3.95693812308811,-5.22280387730118,9.75993138621074,"G05271","GF","a","a","yes","no","G05271_salmon",1
"122","GF.1","w/o Batch",0,-2.98540158053777,-4.16546163174144,10.4953061044631,"G05271","GF","a","a","yes","no","G05271_salmon",1
"123","GF.1","with Batch",1,3.91982581100518,-5.24888847411197,9.74281922430515,"G05271","GF","a","a","yes","no","G05271_salmon",1
"124","GF.1","w/o Batch",1,-2.94659733580401,-4.12133612677697,10.3290309838624,"G05271","GF","a","a","yes","no","G05271_salmon",1
"125","GF.1","with Batch",3,3.8665073088137,-5.34429767268866,9.84793335279049,"G05271","GF","a","a","yes","no","G05271_salmon",1
"126","GF.1","w/o Batch",3,-2.92116376388985,-4.11433860718822,10.5206950795363,"G05271","GF","a","a","yes","no","G05271_salmon",1
"127","GF.1","with Batch",10,3.91487285986347,-5.10345324351552,9.70443239753736,"G05271","GF","a","a","yes","no","G05271_salmon",1
"128","GF.1","w/o Batch",10,-3.08025922293915,-4.19554435348911,10.1965163307837,"G05271","GF","a","a","yes","no","G05271_salmon",1
"129","GF.2","with Batch",0,-2.07718658388954,7.60592852429946,9.75993138621074,"G05276","GF","a","d","yes","no","G05276_salmon",2
"130","GF.2","w/o Batch",0,-2.10290189257605,8.27542607175468,10.4953061044631,"G05276","GF","a","d","yes","no","G05276_salmon",2
"131","GF.2","with Batch",1,-2.13357553536751,7.58883302818573,9.74281922430515,"G05276","GF","a","d","yes","no","G05276_salmon",2
"132","GF.2","w/o Batch",1,-2.06437108593796,8.28942170257721,10.3290309838624,"G05276","GF","a","d","yes","no","G05276_salmon",2
"133","GF.2","with Batch",3,-2.18121106143927,7.63160239853999,9.84793335279049,"G05276","GF","a","d","yes","no","G05276_salmon",2
"134","GF.2","w/o Batch",3,-1.98520357379109,8.46372557278947,10.5206950795363,"G05276","GF","a","d","yes","no","G05276_salmon",2
"135","GF.2","with Batch",10,-2.03740748490797,7.57567552112177,9.70443239753736,"G05276","GF","a","d","yes","no","G05276_salmon",2
"136","GF.2","w/o Batch",10,-2.2828695126395,8.11950594888759,10.1965163307837,"G05276","GF","a","d","yes","no","G05276_salmon",2
"137","GF.3","with Batch",0,-3.27529459445823,7.07574406328703,9.75993138621074,"G05283","GF","b","f","yes","no","G05283_salmon",3
"138","GF.3","w/o Batch",0,1.02413901506925,6.6508033984299,10.4953061044631,"G05283","GF","b","f","yes","no","G05283_salmon",3
"139","GF.3","with Batch",1,-3.49883189107503,7.08282853153484,9.74281922430515,"G05283","GF","b","f","yes","no","G05283_salmon",3
"140","GF.3","w/o Batch",1,0.971661870465111,6.60983714209478,10.3290309838624,"G05283","GF","b","f","yes","no","G05283_salmon",3
"141","GF.3","with Batch",3,-3.57131681698791,7.01928508829842,9.84793335279049,"G05283","GF","b","f","yes","no","G05283_salmon",3
"142","GF.3","w/o Batch",3,1.01066363506756,6.78970072121246,10.5206950795363,"G05283","GF","b","f","yes","no","G05283_salmon",3
"143","GF.3","with Batch",10,-3.50333860374696,6.89385684488853,9.70443239753736,"G05283","GF","b","f","yes","no","G05283_salmon",3
