"","Condition_GF_vs_wt","Condition_GF_vs_bA.A","Condition_GF_vs_bJ.A","Condition_GF_vs_bE.A","Condition_bA.A_vs_wt","Condition_bJ.A_vs_wt","Condition_bE.A_vs_wt","Condition_bE.A_bJ.A_bA.A_vs_wt","Condition_bE.A_bJ.A_bA.A_vs_GF","Condition_bE.A_bJ.A_bA.A_vs_GF_wt"
"NVE318",-0.556442357951809,-0.681031127040678,0,0,0,0,0,0,0.648364662274088,0
"NVE319",0,0,0,0,0.34259438195647,0,0.41279001214347,0.45849592127011,0,0.508706124546848
"NVE320",0,0,0,0,-0.295088299711558,0,0,0,0,0
"NVE321",0,-0.527681339996846,0,0,0.762144346010787,0,0.52064878480172,0.899827517595428,0.665364511581488,1.04346099551981
"NVE322",0,0,0,0,0,0,0,0,0,0
"NVE323",0,0.397196267632951,0,0,-0.698482713212244,0,-0.40924501320688,-0.675714430570143,0,-0.700095425359912
"NVE324",0,0,0,0,0,0,0,0,0,0
"NVE325",0,-0.308401823221585,0,0,0.269156981353512,0,0,0,0,0.420824332215805
"NVE326",0,0,0,0,0,-0.553083998601165,0,0,0,0
"NVE327",0,0,0,0,0,0,0,0,0,0
"NVE328",0,0,0,0,0,0,0,0.26939571041452,0,0.357333271886245
"NVE329",0,0,0,0,0,0,0,0,0,0
"NVE330",0,0,0,0,0,0,0,0,0,0
"NVE331",0,0,0,0,0,0,0,0,0,0
"NVE332",0,0,0,0,0,0,0,0,0,0
"NVE333",0,0,0,0,-0.425246553691315,0,0,-0.466615809159276,0,0
"NVE334",0,0,0,0,0,0,0,0,0,0
"NVE335",-0.373446334991669,0,0,0,-0.634955676562541,0,0,-0.556538256561419,0,-0.493087228019504
"NVE336",0,0,0,0,0,0,0,0,0,0
"NVE337",0,0,0,0,-0.755164098695922,0,-0.706578338804491,-0.982489967251189,0,-1.02312264052078
"NVE338",0,0,0,0,0,0,0,0,0,0
"NVE339",0,0,0,0,0,0,0,0,0,0.537616636972057
"NVE340",0,0,0,-0.593719178222171,0.49750156855627,0,0.611424476488215,0.942020528946364,0.924315230680321,1.24422361958132
"NVE341",0,0,0,0,0,0,0,0,0,0
"NVE342",0,0,0,0,0,0,-0.595885839811295,0,0,-0.894138666599025
"NVE343",0,0,0,0,0,0,0,0,0,0
"NVE344",0,0,0,0,0,0,0,0,0,0
