"","Condition_GF_vs_wt","Condition_GF_vs_bA.A","Condition_GF_vs_bJ.A","Condition_GF_vs_bE.A","Condition_bA.A_vs_wt","Condition_bJ.A_vs_wt","Condition_bE.A_vs_wt","Condition_bE.A_bJ.A_bA.A_vs_wt","Condition_bE.A_bJ.A_bA.A_vs_GF","Condition_bE.A_bJ.A_bA.A_vs_GF_wt"
"NVE190",1,0,0,0,1,0,1,1,0,1
"NVE191",1,0,0,0,1,1,1,1,0,0
"NVE192",0,0,0,0,0,0,0,0,0,0
"NVE193",1,0,0,1,1,1,1,1,1,1
"NVE194",0,0,0,0,0,0,0,0,0,0
"NVE195",0,0,0,0,0,0,0,0,0,0
"NVE196",0,1,0,0,1,0,0,0,0,0
"NVE197",0,0,0,0,0,0,0,0,0,0
"NVE198",0,0,0,0,0,0,0,0,0,0
"NVE199",0,0,0,0,0,0,0,0,0,0
"NVE200",0,0,0,0,0,0,0,0,0,0
"NVE201",0,0,0,0,0,0,0,0,0,0
"NVE202",0,0,0,0,1,0,0,0,0,0
"NVE203",0,0,0,0,1,0,0,0,0,0
"NVE204",0,0,0,0,0,0,0,0,0,0
"NVE205",0,0,0,0,0,0,0,0,0,0
"NVE206",0,0,0,0,0,0,0,0,0,0
"NVE207",0,0,0,0,0,0,0,0,0,0
"NVE208",0,0,0,0,1,0,0,0,0,0
"NVE209",0,0,0,0,1,1,0,1,0,1
"NVE210",0,0,0,0,0,0,0,0,0,0
"NVE211",0,0,0,0,0,0,1,0,0,0
"NVE212",0,0,0,0,0,0,0,0,0,0
"NVE213",1,0,0,0,1,0,1,1,0,0
"NVE214",0,0,0,0,0,0,0,0,0,0
"NVE215",0,0,0,0,0,0,0,0,0,0
"NVE216",1,0,0,0,1,1,1,1,0,0
"NVE217",0,0,0,0,0,0,0,1,1,1
"NVE218",0,0,0,0,0,0,0,0,0,0
"NVE219",0,0,0,0,0,0,0,0,0,0
"NVE220",0,0,0,0,0,0,0,0,0,0
"NVE221",1,1,0,0,1,1,1,1,1,1
"NVE222",0,0,0,0,1,0,1,1,0,1
"NVE223",1,0,0,1,0,0,0,0,1,0
"NVE224",0,0,0,0,1,0,0,1,0,1
"NVE225",0,0,0,0,0,0,0,0,0,0
"NVE226",0,0,0,0,1,1,1,1,1,1
"NVE227",0,0,0,0,1,1,1,1,0,1
"NVE228",0,0,0,0,1,0,0,0,0,0
"NVE229",0,0,0,0,0,0,0,0,0,0
"NVE230",0,0,0,0,0,0,0,0,0,0
"NVE231",0,0,0,0,0,0,0,0,0,0
"NVE232",0,0,0,0,0,0,0,0,0,0
"NVE233",0,0,0,0,1,0,0,0,0,0
"NVE234",0,0,0,0,1,1,1,1,1,1
"NVE235",0,0,0,0,0,0,0,0,0,0
"NVE236",0,0,0,0,0,0,0,0,0,0
"NVE237",0,0,0,0,0,0,0,1,0,1
"NVE238",1,0,0,0,1,1,1,1,0,1
"NVE239",0,1,0,0,1,1,1,1,1,1
"NVE240",0,0,0,0,0,0,0,0,0,0
"NVE241",0,0,0,0,0,0,0,0,0,0
"NVE242",1,0,0,0,1,1,1,1,0,1
"NVE243",0,0,0,0,1,0,0,0,0,0
"NVE244",1,0,0,0,1,0,1,1,0,1
"NVE245",0,0,0,0,0,0,0,0,0,0
"NVE246",0,0,0,0,1,0,0,1,0,0
"NVE247",0,1,0,0,1,0,0,1,1,1
"NVE248",0,0,0,0,0,0,1,0,0,0
"NVE249",0,0,0,0,0,0,0,0,0,0
"NVE250",0,0,0,0,1,0,1,1,0,1
"NVE251",1,0,0,0,1,0,0,1,0,0
"NVE252",1,0,0,0,1,0,1,1,0,0
"NVE253",1,1,0,0,1,1,1,1,1,1
"NVE254",1,1,0,0,1,1,1,1,1,1
"NVE255",1,1,0,0,1,1,1,1,1,1
"NVE256",0,0,0,0,0,0,0,0,0,0
"NVE257",0,0,0,0,0,0,0,0,0,0
"NVE258",0,0,0,0,0,0,0,0,0,0
"NVE259",0,0,0,0,0,0,0,0,0,0
"NVE260",0,0,0,0,0,0,0,0,0,0
"NVE261",0,0,0,0,0,0,0,0,0,0
"NVE262",0,0,0,0,1,0,1,1,0,1
"NVE263",0,0,0,0,0,0,0,0,0,0
"NVE264",0,0,0,0,0,0,0,0,0,0
"NVE265",0,0,0,0,0,0,0,0,0,0
"NVE266",0,0,0,0,0,0,0,0,0,0
"NVE267",0,0,0,0,0,0,0,0,0,0
"NVE268",0,0,0,0,1,0,1,1,0,1
"NVE269",0,0,0,0,1,0,0,0,0,0
"NVE270",0,0,0,0,0,0,0,0,0,0
"NVE271",0,0,0,0,0,0,0,0,0,0
"NVE272",1,0,0,0,1,1,1,1,0,1
"NVE273",0,0,0,0,0,0,0,0,0,0
"NVE274",0,0,0,0,1,1,1,1,1,1
"NVE275",0,0,0,0,0,0,0,0,0,0
"NVE276",0,0,0,0,0,0,0,1,0,1
"NVE277",0,0,0,0,0,0,0,1,1,1
"NVE278",0,0,0,0,0,0,0,0,0,0
"NVE279",0,0,0,0,0,0,0,0,0,0
"NVE280",0,0,0,0,0,0,0,0,0,0
"NVE281",1,0,0,0,1,1,1,1,0,1
"NVE282",0,1,1,1,1,1,1,1,1,1
"NVE283",0,0,0,0,0,0,0,0,0,0
"NVE284",0,0,0,0,0,0,0,0,0,0
"NVE285",0,0,0,0,0,0,0,0,0,0
"NVE286",0,0,0,0,0,0,0,0,0,0
"NVE287",1,0,0,0,1,1,1,1,1,1
"NVE288",0,0,0,0,0,0,0,0,0,0
"NVE289",0,0,0,0,1,0,1,1,0,1
"NVE290",0,0,0,0,0,0,1,1,0,0
"NVE291",0,1,0,0,1,1,1,1,1,1
"NVE292",0,0,0,0,0,0,0,0,0,0
"NVE293",1,1,0,0,0,0,0,0,1,1
"NVE294",1,0,0,0,1,1,1,1,0,0
"NVE295",0,0,0,0,1,0,0,0,0,0
"NVE296",1,0,0,0,1,1,1,1,0,1
"NVE297",0,0,0,0,0,0,0,0,0,0
"NVE298",0,0,0,0,1,0,0,1,1,1
"NVE299",0,0,0,0,1,0,0,0,0,0
"NVE300",0,0,0,0,0,0,0,0,0,0
"NVE301",0,1,1,1,1,1,1,1,1,1
"NVE302",0,0,0,0,1,0,0,0,0,0
"NVE303",0,0,0,0,0,0,0,0,0,0
"NVE304",0,0,0,0,1,1,1,1,1,1
